team,total_goals_scored,total_goals_received,fee,total_matches,season,league
Parma,58,46,11513000,38,2013/14,Serie A
Parma,33,75,15517000,38,2014/15,Serie A
Parma,41,61,18910000,38,2018/19,Serie A
Parma,56,57,22384000,38,2019/20,Serie A
Parma,8,13,92170000,7,2020/21,Serie A
Queens Park Rangers FC,43,66,23603000,38,2011/12,Premier League
Queens Park Rangers FC,30,60,45320000,38,2012/13,Premier League
Queens Park Rangers FC,42,73,39191000,38,2014/15,Premier League
RB Leipzig,66,39,70610000,34,2016/17,Bundesliga
RB Leipzig,57,53,57150000,34,2017/18,Bundesliga
RB Leipzig,63,29,59070000,34,2018/19,Bundesliga
RB Leipzig,81,37,68850000,34,2019/20,Bundesliga
RB Leipzig,15,4,30600000,7,2020/21,Bundesliga
RC Celta Vigo,37,52,4635000,38,2012/13,Primera División
RC Celta Vigo,49,54,4500000,38,2013/14,Primera División
RC Celta Vigo,47,44,3420000,38,2014/15,Primera División
RC Celta Vigo,51,59,14670000,38,2015/16,Primera División
RC Celta Vigo,53,69,7560000,38,2016/17,Primera División
RC Celta Vigo,59,60,23850000,38,2017/18,Primera División
RC Celta Vigo,53,62,26550000,38,2018/19,Primera División
RC Celta Vigo,37,49,22140000,38,2019/20,Primera División
RC Celta Vigo,6,15,2250000,9,2020/21,Primera División
RC Lens,32,61,0,38,2014/15,Ligue 1
RC Lens,14,14,17100000,8,2020/21,Ligue 1
RCD Espanyol,43,52,585000,38,2012/13,Primera División
RCD Espanyol,41,51,675000,38,2013/14,Primera División
RCD Espanyol,47,51,1980000,38,2014/15,Primera División
RCD Espanyol,40,74,2840000,38,2015/16,Primera División
RCD Espanyol,49,50,16560000,38,2016/17,Primera División
RCD Espanyol,36,42,15345000,38,2017/18,Primera División
RCD Espanyol,48,50,20340000,38,2018/19,Primera División
RCD Espanyol,27,58,55350000,38,2019/20,Primera División
RCD La Coruña,47,70,675000,38,2012/13,Primera División
RCD La Coruña,35,60,1260000,38,2014/15,Primera División
RCD La Coruña,45,61,7200000,38,2015/16,Primera División
RCD La Coruña,43,61,6300000,38,2016/17,Primera División
RCD La Coruña,38,76,8550000,38,2017/18,Primera División
RCD Mallorca,43,72,3330000,38,2012/13,Primera División
RCD Mallorca,40,65,6750000,38,2019/20,Primera División
Rayo Vallecano,50,66,0,38,2012/13,Primera División
Rayo Vallecano,46,80,0,38,2013/14,Primera División
Rayo Vallecano,46,68,450000,38,2014/15,Primera División
Rayo Vallecano,52,73,360000,38,2015/16,Primera División
Rayo Vallecano,41,70,11070000,38,2018/19,Primera División
Reading FC,43,73,9738000,38,2012/13,Premier League
Real Betis,57,56,2385000,38,2012/13,Primera División
Real Betis,36,78,6705000,38,2013/14,Primera División
Real Betis,34,52,7970000,38,2015/16,Primera División
Real Betis,41,64,18810000,38,2016/17,Primera División
Real Betis,60,61,34650000,38,2017/18,Primera División
Real Betis,44,52,34650000,38,2018/19,Primera División
Real Betis,48,60,90230000,38,2019/20,Primera División
Real Betis,12,17,0,9,2020/21,Primera División
Real Madrid,103,42,34650000,38,2012/13,Primera División
Real Madrid,104,38,157950000,38,2013/14,Primera División
Real Madrid,118,38,113400000,38,2014/15,Primera División
Real Madrid,110,34,76500000,38,2015/16,Primera División
Real Madrid,106,41,27000000,38,2016/17,Primera División
Real Madrid,94,44,36450000,38,2017/18,Primera División
Real Madrid,63,46,146480000,38,2018/19,Primera División
Real Madrid,70,25,317250000,38,2019/20,Primera División
Real Madrid,14,9,0,8,2020/21,Primera División
Real Sociedad,70,49,12600000,38,2012/13,Primera División
Real Sociedad,62,55,5850000,38,2013/14,Primera División
Real Sociedad,44,51,10800000,38,2014/15,Primera División
Real Sociedad,45,48,22590000,38,2015/16,Primera División
Real Sociedad,59,53,16200000,38,2016/17,Primera División
Real Sociedad,66,59,19350000,38,2017/18,Primera División
Real Sociedad,45,46,10800000,38,2018/19,Primera División
Real Sociedad,56,48,19125000,38,2019/20,Primera División
Real Sociedad,20,4,0,9,2020/21,Primera División
Real Valladolid CF,49,58,0,38,2012/13,Primera División
Real Valladolid CF,38,60,945000,38,2013/14,Primera División
Real Valladolid CF,32,51,9090000,38,2018/19,Primera División
Real Valladolid CF,32,43,1260000,38,2019/20,Primera División
Real Valladolid CF,7,14,7430000,9,2020/21,Primera División
Real Zaragoza,37,62,1620000,38,2012/13,Primera División
SC Bastia,37,46,90000,38,2014/15,Ligue 1
SC Bastia,36,42,0,38,2015/16,Ligue 1
SC Bastia,29,54,225000,38,2016/17,Ligue 1
SC Freiburg,45,61,3150000,34,2011/12,Bundesliga
SC Freiburg,45,40,1350000,34,2012/13,Bundesliga
SC Freiburg,43,61,6237000,34,2013/14,Bundesliga
SC Freiburg,36,47,12915000,34,2014/15,Bundesliga
SC Freiburg,42,60,15095000,34,2016/17,Bundesliga
SC Freiburg,32,56,18135000,34,2017/18,Bundesliga
SC Freiburg,46,61,16560000,34,2018/19,Bundesliga
SC Freiburg,48,47,16650000,34,2019/20,Bundesliga
SC Freiburg,8,16,12915000,7,2020/21,Bundesliga
SC Paderborn 07,31,65,1755000,34,2014/15,Bundesliga
SC Paderborn 07,37,74,675000,34,2019/20,Bundesliga
SD Eibar,34,55,146000,38,2014/15,Primera División
SD Eibar,49,61,3330000,38,2015/16,Primera División
SD Eibar,56,51,7740000,38,2016/17,Primera División
SD Eibar,44,50,6705000,38,2017/18,Primera División
SD Eibar,46,50,7200000,38,2018/19,Primera División
SD Eibar,39,56,15390000,38,2019/20,Primera División
SD Eibar,6,9,1800000,9,2020/21,Primera División
SD Huesca,43,65,7200000,38,2018/19,Primera División
SD Huesca,7,15,3825000,9,2020/21,Primera División
SPAL Ferrara,39,59,7863000,38,2017/18,Serie A
SPAL Ferrara,44,56,19570000,38,2018/19,Serie A
SPAL Ferrara,27,77,22815000,38,2019/20,Serie A
SS Lazio,54,54,24150000,38,2013/14,Serie A
SS Lazio,71,38,11475000,38,2014/15,Serie A
SS Lazio,52,52,33530000,38,2015/16,Serie A
SS Lazio,74,51,29435000,38,2016/17,Serie A
SS Lazio,89,49,25290000,38,2017/18,Serie A
SS Lazio,56,46,42510000,38,2018/19,Serie A
SS Lazio,79,42,41078000,38,2019/20,Serie A
SS Lazio,11,13,34650000,7,2020/21,Serie A
SSC Napoli,77,39,96705000,38,2013/14,Serie A
SSC Napoli,70,54,31330000,38,2014/15,Serie A
SSC Napoli,80,32,38430000,38,2015/16,Serie A
SSC Napoli,94,39,89181000,38,2016/17,Serie A
SSC Napoli,77,29,61210000,38,2017/18,Serie A
SSC Napoli,74,36,63450000,38,2018/19,Serie A
SSC Napoli,61,50,176850000,38,2019/20,Serie A
SSC Napoli,15,7,67950000,7,2020/21,Serie A
SV Darmstadt 98,38,53,990000,34,2015/16,Bundesliga
SV Darmstadt 98,28,63,3690000,34,2016/17,Bundesliga
Sevilla FC,58,54,12600000,38,2012/13,Primera División
Sevilla FC,69,52,33395000,38,2013/14,Primera División
Sevilla FC,71,45,18855000,38,2014/15,Primera División
Sevilla FC,51,50,39600000,38,2015/16,Primera División
Sevilla FC,69,49,73530000,38,2016/17,Primera División
Sevilla FC,49,58,70245000,38,2017/18,Primera División
Sevilla FC,62,47,71145000,38,2018/19,Primera División
Sevilla FC,54,34,159980000,38,2019/20,Primera División
Sevilla FC,7,6,70650000,7,2020/21,Primera División
Sheffield United FC,39,39,64350000,38,2019/20,Premier League
Sheffield United FC,4,14,79840000,8,2020/21,Premier League
Southampton FC,49,60,37360000,38,2012/13,Premier League
Southampton FC,54,46,35640000,38,2013/14,Premier League
Southampton FC,54,33,86400000,38,2014/15,Premier League
Southampton FC,59,41,54090000,38,2015/16,Premier League
Southampton FC,41,48,62010000,38,2016/17,Premier League
Southampton FC,37,56,55130000,38,2017/18,Premier League
Southampton FC,45,65,56030000,38,2018/19,Premier League
Southampton FC,51,60,52740000,38,2019/20,Premier League
Southampton FC,16,12,49770000,8,2020/21,Premier League
SpVgg Greuther Fürth,26,60,3465000,34,2012/13,Bundesliga
Spezia,11,15,5265000,7,2020/21,Serie A
Sporting Gijón,40,62,0,38,2015/16,Primera División
Sporting Gijón,42,72,900000,38,2016/17,Primera División
Stade Brestois 29,34,37,6750000,28,2019/20,Ligue 1
Stade Brestois 29,15,22,14490000,10,2020/21,Ligue 1
Stade Malherbe Caen,54,55,720000,38,2014/15,Ligue 1
Stade Malherbe Caen,39,52,5445000,38,2015/16,Ligue 1
Stade Malherbe Caen,36,65,3825000,38,2016/17,Ligue 1
Stade Malherbe Caen,27,52,6260000,38,2017/18,Ligue 1
Stade Malherbe Caen,29,54,8955000,38,2018/19,Ligue 1
Stade Rennais FC,35,42,13625000,38,2014/15,Ligue 1
Stade Rennais FC,52,54,5076000,38,2015/16,Ligue 1
Stade Rennais FC,36,42,2043000,38,2016/17,Ligue 1
Stade Rennais FC,50,44,48510000,38,2017/18,Ligue 1
Stade Rennais FC,55,52,16200000,38,2018/19,Ligue 1
Stade Rennais FC,38,24,49050000,28,2019/20,Ligue 1
Stade Rennais FC,18,14,90900000,10,2020/21,Ligue 1
Stade de Reims,47,66,0,38,2014/15,Ligue 1
Stade de Reims,44,57,2160000,38,2015/16,Ligue 1
Stade de Reims,39,42,13950000,38,2018/19,Ligue 1
Stade de Reims,26,21,16830000,28,2019/20,Ligue 1
Stade de Reims,16,18,9900000,10,2020/21,Ligue 1
Stoke City FC,36,53,22320000,38,2011/12,Premier League
Stoke City FC,34,45,21317000,38,2012/13,Premier League
Stoke City FC,45,52,6300000,38,2013/14,Premier League
Stoke City FC,48,45,1620000,38,2014/15,Premier League
Stoke City FC,41,55,48290000,38,2015/16,Premier League
Stoke City FC,41,56,34903000,38,2016/17,Premier League
Stoke City FC,35,68,51930000,38,2017/18,Premier League
Sunderland AFC,45,46,25425000,38,2011/12,Premier League
Sunderland AFC,41,54,34470000,38,2012/13,Premier League
Sunderland AFC,41,60,30525000,38,2013/14,Premier League
Sunderland AFC,31,53,20260000,38,2014/15,Premier League
Sunderland AFC,48,62,59450000,38,2015/16,Premier League
Sunderland AFC,29,69,37720000,38,2016/17,Premier League
Swansea City FC,44,51,11571000,38,2011/12,Premier League
Swansea City FC,47,51,18420000,38,2012/13,Premier League
Swansea City FC,54,54,23951000,38,2013/14,Premier League
Swansea City FC,46,49,37380000,38,2014/15,Premier League
Swansea City FC,42,52,19629000,38,2015/16,Premier League
Swansea City FC,45,70,52290000,38,2016/17,Premier League
Swansea City FC,28,56,66047000,38,2017/18,Premier League
TSG 1899 Hoffenheim,41,47,5310000,34,2011/12,Bundesliga
TSG 1899 Hoffenheim,42,67,23670000,34,2012/13,Bundesliga
TSG 1899 Hoffenheim,72,70,8910000,34,2013/14,Bundesliga
TSG 1899 Hoffenheim,49,55,17280000,34,2014/15,Bundesliga
TSG 1899 Hoffenheim,39,54,21060000,34,2015/16,Bundesliga
TSG 1899 Hoffenheim,64,37,24694000,34,2016/17,Bundesliga
TSG 1899 Hoffenheim,66,48,13230000,34,2017/18,Bundesliga
TSG 1899 Hoffenheim,70,52,28800000,34,2018/19,Bundesliga
TSG 1899 Hoffenheim,53,53,50265000,34,2019/20,Bundesliga
TSG 1899 Hoffenheim,11,12,2700000,7,2020/21,Bundesliga
Torino FC,58,48,18360000,38,2013/14,Serie A
Torino FC,48,45,19980000,38,2014/15,Serie A
Torino FC,52,55,25245000,38,2015/16,Serie A
Torino FC,71,66,25630000,38,2016/17,Serie A
Torino FC,54,46,21690000,38,2017/18,Serie A
Torino FC,52,37,47835000,38,2018/19,Serie A
Torino FC,46,68,26280000,38,2019/20,Serie A
Torino FC,12,16,36900000,7,2020/21,Serie A
Tottenham Hotspur FC,66,41,8110000,38,2011/12,Premier League
Tottenham Hotspur FC,66,46,65930000,38,2012/13,Premier League
Tottenham Hotspur FC,55,51,110280000,38,2013/14,Premier League
Tottenham Hotspur FC,58,53,43640000,38,2014/15,Premier League
Tottenham Hotspur FC,69,35,63900000,38,2015/16,Premier League
Tottenham Hotspur FC,86,26,75150000,38,2016/17,Premier League
Tottenham Hotspur FC,74,36,109350000,38,2017/18,Premier League
Tottenham Hotspur FC,67,39,0,38,2018/19,Premier League
Tottenham Hotspur FC,61,47,133650000,38,2019/20,Premier League
Tottenham Hotspur FC,19,9,91260000,8,2020/21,Premier League
Toulouse FC,43,64,2700000,38,2014/15,Ligue 1
Toulouse FC,45,55,2610000,38,2015/16,Ligue 1
Toulouse FC,37,41,11700000,38,2016/17,Ligue 1
Toulouse FC,38,54,3150000,38,2017/18,Ligue 1
Toulouse FC,35,57,16610000,38,2018/19,Ligue 1
Toulouse FC,22,58,12600000,28,2019/20,Ligue 1
UC Sampdoria,48,62,17640000,38,2013/14,Serie A
UC Sampdoria,48,42,21830000,38,2014/15,Serie A
UC Sampdoria,48,61,31201000,38,2015/16,Serie A
UC Sampdoria,49,55,35690000,38,2016/17,Serie A
UC Sampdoria,56,60,45905000,38,2017/18,Serie A
UC Sampdoria,60,51,49680000,38,2018/19,Serie A
UC Sampdoria,48,65,58455000,38,2019/20,Serie A
UC Sampdoria,11,11,14130000,7,2020/21,Serie A
UD Almería,43,71,0,38,2013/14,Primera División
UD Almería,35,64,0,38,2014/15,Primera División
UD Las Palmas,45,53,5760000,38,2015/16,Primera División
UD Las Palmas,53,74,2610000,38,2016/17,Primera División
UD Las Palmas,24,74,315000,38,2017/18,Primera División
US Lecce,52,85,5535000,38,2019/20,Serie A
US Sassuolo Calcio,43,72,41855000,38,2013/14,Serie A
US Sassuolo Calcio,49,57,16020000,38,2014/15,Serie A
US Sassuolo Calcio,49,40,27640000,38,2015/16,Serie A
US Sassuolo Calcio,58,63,24758000,38,2016/17,Serie A
US Sassuolo Calcio,29,59,31950000,38,2017/18,Serie A
US Sassuolo Calcio,53,60,35730000,38,2018/19,Serie A
US Sassuolo Calcio,69,63,55400000,38,2019/20,Serie A
US Sassuolo Calcio,18,9,26820000,7,2020/21,Serie A
Udinese Calcio,46,57,21969000,38,2013/14,Serie A
Udinese Calcio,43,56,26280000,38,2014/15,Serie A
Udinese Calcio,35,60,19283000,38,2015/16,Serie A
Udinese Calcio,47,56,17100000,38,2016/17,Serie A
Udinese Calcio,48,63,20332000,38,2017/18,Serie A
Udinese Calcio,39,53,44460000,38,2018/19,Serie A
Udinese Calcio,37,51,11340000,38,2019/20,Serie A
Udinese Calcio,6,11,7200000,7,2020/21,Serie A
Valencia CF,67,54,20880000,38,2012/13,Primera División
Valencia CF,51,53,20228000,38,2013/14,Primera División
Valencia CF,70,32,47970000,38,2014/15,Primera División
Valencia CF,46,48,129510000,38,2015/16,Primera División
Valencia CF,56,65,32400000,38,2016/17,Primera División
Valencia CF,65,38,49500000,38,2017/18,Primera División
Valencia CF,51,35,116280000,38,2018/19,Primera División
Valencia CF,46,53,67500000,38,2019/20,Primera División
Valencia CF,15,14,0,9,2020/21,Primera División
VfB Stuttgart,63,46,9990000,34,2011/12,Bundesliga
VfB Stuttgart,37,55,2160000,34,2012/13,Bundesliga
VfB Stuttgart,49,62,6480000,34,2013/14,Bundesliga
VfB Stuttgart,42,60,9725000,34,2014/15,Bundesliga
VfB Stuttgart,50,75,14100000,34,2015/16,Bundesliga
VfB Stuttgart,36,36,27810000,34,2017/18,Bundesliga
VfB Stuttgart,32,70,42300000,34,2018/19,Bundesliga
VfB Stuttgart,13,9,10125000,7,2020/21,Bundesliga
VfL Wolfsburg,47,60,43920000,34,2011/12,Bundesliga
VfL Wolfsburg,47,52,24390000,34,2012/13,Bundesliga
VfL Wolfsburg,63,50,45540000,34,2013/14,Bundesliga
VfL Wolfsburg,72,38,40545000,34,2014/15,Bundesliga
VfL Wolfsburg,47,49,61290000,34,2015/16,Bundesliga
VfL Wolfsburg,34,52,72945000,34,2016/17,Bundesliga
VfL Wolfsburg,36,48,66380000,34,2017/18,Bundesliga
VfL Wolfsburg,62,50,36000000,34,2018/19,Bundesliga
VfL Wolfsburg,48,46,34920000,34,2019/20,Bundesliga
VfL Wolfsburg,7,5,30600000,7,2020/21,Bundesliga
Villarreal CF,60,44,14400000,38,2013/14,Primera División
Villarreal CF,48,37,16830000,38,2014/15,Primera División
Villarreal CF,44,35,42480000,38,2015/16,Primera División
Villarreal CF,56,33,50360000,38,2016/17,Primera División
Villarreal CF,57,50,41490000,38,2017/18,Primera División
Villarreal CF,49,52,83610000,38,2018/19,Primera División
Villarreal CF,63,49,40320000,38,2019/20,Primera División
Villarreal CF,13,9,29610000,9,2020/21,Primera División
Watford FC,40,50,75180000,38,2015/16,Premier League
Watford FC,40,68,63415000,38,2016/17,Premier League
Watford FC,44,64,64260000,38,2017/18,Premier League
Watford FC,52,59,27100000,38,2018/19,Premier League
Watford FC,36,64,43200000,38,2019/20,Premier League
Werder Bremen,49,58,7920000,34,2011/12,Bundesliga
Werder Bremen,50,66,13255000,34,2012/13,Bundesliga
Werder Bremen,42,66,9230000,34,2013/14,Bundesliga
Werder Bremen,50,65,5895000,34,2014/15,Bundesliga
Werder Bremen,50,65,11592000,34,2015/16,Bundesliga
Werder Bremen,61,64,21330000,34,2016/17,Bundesliga
Werder Bremen,37,40,15750000,34,2017/18,Bundesliga
Werder Bremen,58,49,23225000,34,2018/19,Bundesliga
Werder Bremen,42,69,12555000,34,2019/20,Bundesliga
Werder Bremen,9,9,9900000,7,2020/21,Bundesliga
West Bromwich Albion FC,45,52,8224000,38,2011/12,Premier League
West Bromwich Albion FC,53,57,4500000,38,2012/13,Premier League
West Bromwich Albion FC,43,59,14130000,38,2013/14,Premier League
West Bromwich Albion FC,38,51,22400000,38,2014/15,Premier League
West Bromwich Albion FC,34,48,38610000,38,2015/16,Premier League
West Bromwich Albion FC,43,51,34110000,38,2016/17,Premier League
West Bromwich Albion FC,31,56,48150000,38,2017/18,Premier League
West Bromwich Albion FC,6,17,22320000,8,2020/21,Premier League
West Ham United FC,45,53,21511000,38,2012/13,Premier League
West Ham United FC,40,51,21600000,38,2013/14,Premier League
West Ham United FC,44,47,31640000,38,2014/15,Premier League
West Ham United FC,65,51,47430000,38,2015/16,Premier League
West Ham United FC,47,64,75150000,38,2016/17,Premier League
West Ham United FC,48,68,51120000,38,2017/18,Premier League
West Ham United FC,52,55,90810000,38,2018/19,Premier League
West Ham United FC,49,62,108180000,38,2019/20,Premier League
West Ham United FC,14,10,25380000,8,2020/21,Premier League
Wigan Athletic FC,42,62,11140000,38,2011/12,Premier League
Wigan Athletic FC,47,73,9482000,38,2012/13,Premier League
Wolverhampton Wanderers FC,40,82,10850000,38,2011/12,Premier League
Wolverhampton Wanderers FC,47,46,101030000,38,2018/19,Premier League
Wolverhampton Wanderers FC,51,40,109620000,38,2019/20,Premier League
Wolverhampton Wanderers FC,8,9,73620000,8,2020/21,Premier League
Évian TG FC,41,62,2025000,38,2014/15,Ligue 1
